CODE_LIGNE;LIB_LIGNE;CATLIG;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
570360;570360;Ligne à grande vitesse;1;000+000;006+775;77831a46-e28c-11e8-92ff-01b064e0362d;497240.00559999794;6615621.425700001;497772.6216999963;6621468.721500002;0.3502575799237981;46.61002576667217;0.354653761717846;46.66280754073003;46.61002576667217, 0.3502575799237981;46.66280754073003, 0.354653761717846
216308;216308;Ligne à grande vitesse;1;000+000;001+412;777f62f2-e28c-11e8-92ff-01b064e0362d;663562.686499998;7075383.7346;662741.4042000026;7076136.0989000015;2.484404736287961;50.77393721689055;2.4727126789329508;50.78063887396396;50.77393721689055, 2.484404736287961;50.78063887396396, 2.4727126789329508
408320;408320;Ligne à grande vitesse;1;000+000;003+567;77834156-e28c-11e8-92ff-01b064e0362d;485108.85610000044;6778646.6347;488196.93150000274;6777680.985399999;0.11402439814441694;48.07285068077945;0.1559278476357781;48.06517484896753;48.07285068077945, 0.11402439814441694;48.06517484896753, 0.1559278476357781
140370;140370;Ligne à grande vitesse;1;000+000;004+430;77832078-e28c-11e8-92ff-01b064e0362d;953611.2088999972;6879643.116599999;956693.6644999981;6877452.938700002;6.464858037553233;48.966650932072795;6.505588256009375;48.94575214247288;48.966650932072795, 6.464858037553233;48.94575214247288, 6.505588256009375
216302;216302;Ligne à grande vitesse;1;000+000;003+099;777f627c-e28c-11e8-92ff-01b064e0362d;710039.9957000017;7054130.7903;711946.25;7052742.395300001;3.1415307751150903;50.58420730526104;3.16836085884561;50.57171290949139;50.58420730526104, 3.1415307751150903;50.57171290949139, 3.16836085884561
752308;752308;Ligne à grande vitesse;1;051+080;056+680;7781044a-e28c-11e8-92ff-01b064e0362d;681894.3254000023;6845573.632199999;680067.2951999977;6841257.744600002;2.7539320723571183;48.71004734575978;2.7293028073222545;48.67117446851843;48.71004734575978, 2.7539320723571183;48.67117446851843, 2.7293028073222545
431310;431310;Ligne à grande vitesse;1;177+685;178+461;777ab25a-e28c-11e8-92ff-01b064e0362d;550252.1965000033;6733385.7762;550026.1506000012;6732654.287700001;1.0038018784838572;47.68382379551824;1.0010366808625584;47.67719047093355;47.68382379551824, 1.0038018784838572;47.67719047093355, 1.0010366808625584
752342;752342;Ligne à grande vitesse;1;;;;855733.5398000032;6436448.549699999;855276.5728999972;6433669.236299999;4.976879244444455;45.00972419150384;4.970200818944415;44.98481061688086;45.00972419150384, 4.976879244444455;44.98481061688086, 4.970200818944415
14330;14330;Ligne à grande vitesse;1;;;;996308.1374000013;6729929.189399999;998332.8316999972;6731036.1644;6.945157133678401;47.60310931058609;6.972810278228126;47.61214745484902;47.60310931058609, 6.945157133678401;47.61214745484902, 6.972810278228126
408305;408305;Ligne à grande vitesse;1;;;;509079.76470000297;6776436.189599998;511298.3475999981;6776709.858800001;0.4366752718632557;48.06041296249264;0.46632389212793807;48.06351859887706;48.06041296249264, 0.4366752718632557;48.06351859887706, 0.46632389212793807
752100;752100;Ligne à grande vitesse;1;;;;658572.2757999972;6852872.453499999;681818.7220999971;6829905.366700001;2.436269766781416;48.77461745807791;2.7535691408597955;48.56911147041437;48.77461745807791, 2.436269766781416;48.56911147041437, 2.7535691408597955
834100;834100;Ligne à grande vitesse;1;;;;837910.7307000011;6316704.177900001;842564.4029000029;6315697.8561;4.717654543011116;43.935840909329094;4.775314274094826;43.925860441605295;43.935840909329094, 4.717654543011116;43.925860441605295, 4.775314274094826
5345;5345;Ligne à grande vitesse;1;;;;950409.5649000034;6878619.602899998;953352.8726999983;6883261.1908;6.420566598803245;48.95871073989349;6.463499909755422;48.999255820382984;48.95871073989349, 6.420566598803245;48.999255820382984, 6.463499909755422
216308;216308;Ligne à grande vitesse;1;;;;663562.686499998;7075383.7346;662741.4042000026;7076136.0989000015;2.484404736287961;50.77393721689055;2.4727126789329508;50.78063887396396;50.77393721689055, 2.484404736287961;50.78063887396396, 2.4727126789329508
72311;72311;Ligne à grande vitesse;1;;;;703863.9660999998;6882341.809900001;704385.8439999968;6883292.458299998;3.052848427160413;49.04094720164357;3.059996157844974;49.049491725728956;49.04094720164357, 3.052848427160413;49.049491725728956, 3.059996157844974
408345;408345;Ligne à grande vitesse;1;;;;451286.19359999895;6762194.710000001;452847.89169999957;6759158.518199999;-0.3303952622682249;47.9129335181193;-0.3078058133564758;47.886223552167806;47.9129335181193, -0.3303952622682249;47.886223552167806, -0.3078058133564758
908320;908320;Ligne à grande vitesse;1;;;;857023.9615999982;6436144.080600001;855903.2550000027;6434653.5964;4.993155373827457;45.006691641287226;4.9784619273736;44.99352968163599;45.006691641287226, 4.993155373827457;44.99352968163599, 4.9784619273736
5341;5341;Ligne à grande vitesse;1;;;;919743.9532999992;6878697.565499999;921523.9182000011;6879877.864399999;6.002149911026628;48.970622968909204;6.0270620061071964;48.980617830281076;48.970622968909204, 6.002149911026628;48.980617830281076, 6.0270620061071964
431000;431000;Ligne à grande vitesse;1;;;;648198.7695999965;6855347.721900001;530142.2220000029;6695404.759399999;2.2948176163410876;48.79612913904851;0.7502863036932537;47.3371930740501;48.79612913904851, 2.2948176163410876;47.3371930740501, 0.7502863036932537
431315;431315;Ligne à grande vitesse;1;;;;534234.1506000012;6702071.9474;531866.2973999977;6701374.091200002;0.8019969026703994;47.39822552407638;0.7708776301264303;47.39134840718037;47.39822552407638, 0.8019969026703994;47.39134840718037, 0.7708776301264303
837000;837000;Ligne à grande vitesse;1;000+000;024+587;777e53f4-e28c-11e8-92ff-01b064e0362d;684673.9869000018;6174566.9998;688438.3288000003;6150538.638799999;2.8132743184044537;42.67057483023673;2.8596576753940806;42.454634875100865;42.67057483023673, 2.8132743184044537;42.454634875100865, 2.8596576753940806
752323;752323;Ligne à grande vitesse;1;000+000;000+384;77810584-e28c-11e8-92ff-01b064e0362d;699392.7712000012;6809618.823399998;699061.0232999995;6809620.7379;2.9917980944707083;48.38686729126476;2.9873171353677215;48.38688412074389;48.38686729126476, 2.9917980944707083;48.38688412074389, 2.9873171353677215
566000;566000;Ligne à grande vitesse;1;000+000;301+848;7782ea1a-e28c-11e8-92ff-01b064e0362d;530170.2141000032;6695427.207699999;423721.1741999984;6431446.4549;0.7506483825536794;47.337402255354995;-0.5026939031612094;44.92705909378526;47.337402255354995, 0.7506483825536794;44.92705909378526, -0.5026939031612094
216000;216000;Ligne à grande vitesse;1;000+000;115+220;777f608c-e28c-11e8-92ff-01b064e0362d;708327.2726999968;7051074.703699999;614437.879900001;7092302.6000000015;3.1173230678732593;50.55680385699207;1.7856754034480309;50.92088735959269;50.55680385699207, 3.1173230678732593;50.92088735959269, 1.7856754034480309
408000;408000;Ligne à grande vitesse;1;000+000;181+635;7782e554-e28c-11e8-92ff-01b064e0362d;512014.120099999;6775258.135200001;356566.2646000013;6788900.848000001;0.47655064299698513;48.05066778035632;-1.6171459242494537;48.110087164562756;48.05066778035632, 0.47655064299698513;48.110087164562756, -1.6171459242494537
5330;5330;Ligne à grande vitesse;1;000+000;001+242;777a34e2-e28c-11e8-92ff-01b064e0362d;799871.8082000017;6886288.9098000005;800637.0262999982;6885533.3158;4.3667698307235385;49.06867736310692;4.377059596175495;49.061764960966556;49.06867736310692, 4.3667698307235385;49.061764960966556, 4.377059596175495
834000;834000;Ligne à grande vitesse;1;000+000;026+105;777e50d6-e28c-11e8-92ff-01b064e0362d;839365.4496999979;6320917.149500001;821941.3997000009;6303753.546700001;4.736921035758172;43.9734608386814;4.515715620792194;43.8222612588769;43.9734608386814, 4.736921035758172;43.8222612588769, 4.515715620792194
14300;14300;Ligne à grande vitesse;1;000+000;002+891;777fde2a-e28c-11e8-92ff-01b064e0362d;923428.1824000031;6694072.192200001;925144.7796000019;6693479.360599998;5.9579920019810615;47.30930317534094;5.980400636127515;47.30338910250733;47.30930317534094, 5.9579920019810615;47.30338910250733, 5.980400636127515
